Hyllpaikka,Tekijä,Nimeke,Lainojen lkm.,ISBN/ISSN,Julkaisuvuosi
"0.51, 05.1, 79.15051, 84,2, 84.2",,Hevoshullu.,20900,0356-5483,1972-01-01
"0.51, 05.1, 66.051, 82.144051, 85.,32, 85.32, 85.32051",,Aku Ankka.,13957,0355-2101,1955-01-01
"., 05.1, 82.144051, 85.32051",,Karvinen - Garfield.,10548,0789-8010,1990-01-01
"0.51, 05., 05.1",,Anna.,9911,0355-3035,1975-01-01
"05.1, 65, 65.051, 65.4021, 65.4051, 68.051",,Suuri käsityölehti.,8966,1236-3855,1993-01-01
"0.51, 05.1, 78.81051, 79.81051",,Pelit.,8526,,1992-01-01
"05.1, 68.051, 69.051",,Kodin kuvalehti.,7717,0023-2610,1967-01-01
"01.5, 05.1, 68, 68.051",,Kotiliesi.,7180,0023-4281,1923-01-01
"05.1, 60.051, 61.051, 62, 62.051",,TM : Tekniikan maailma.,6882,0355-4287,1974-01-01
05.1,,Demi.,6835,1456-1433,1998-01-01
"05.1, 68.4, 76.051",,Avotakka.,6500,0355-2950,1967-01-01
05.1,,Tieteen kuvalehti.,5423,0903-5583,1986-01-01
"01.5, 020N00524199020N00524199, 05.1, 59.3, 59.3051",,Kauneus ja terveys.,5300,0047-3308,1956-01-01
"05.01, 05.1, 84.2",,Systeri.,5194,1795-1631,2004-01-01
"05., 05.1, 66, 66.051, 66.3, Lainattavat lehdet",,Meidän talo : kodin rakentajan ja kunnostajan lehti.,5076,1455-2825,1997-01-01
"05.1, 84.2",,ET-lehti,5056,0785-0913,1982-01-01
"05.1, 2013, 59, 59.051",,Kotilääkäri,4982,0787-9385,1978-01-01
"05.1, 67.45, 67.45051, 67.454051",,Lemmikki.,4606,0787-6424,1990-01-01
"05.1, 79.15051",,Villivarsa.,4494,0781-5638,1984-01-01
"0.51, 05.1, 59.051",,Hyvä terveys,4339,1236-3081,1993-01-01
"05.1, 68.051",,Kotivinkki.,4284,0359-8713,1982-01-01
05.1,,Apu.,4223,0355-3051,1972-01-01
"05.1, 67, 67,.3051, 67.3, 67.3051",,Kotipuutarha,4176,0355-8673,1941-01-01
05.1,,Me naiset.,4020,0025-6277,1952-01-01
"05.1, 82.144051, 85.32, 85.32051",,Roope-setä.,3944,0357-8755,1978-01-01
"00, 05.1, 68, 68.051, 84.2",,Koti ja keittiö.,3870,1458-3755,1996-01-01
"05.1, 62.051, 65.051, 66.051",,"Tee itse : sisustus, korjaukset, työkalut, tarvikkeet, uutuudet.",3735,0788-5512,1987-01-01
